DayOfYear,Cumulative Return,Cum_Current_Year
143,1.0514539597796768,1.1358646361761882
144,1.0482486464956118,1.14846190737437
145,1.050226454173842,1.1493959630767452
146,1.054285053787254,1.1436947615439705
147,1.0579733564216562,1.1617575888574359
148,1.0608113175209932,1.1458490578367462
149,1.059880730499224,1.124786219879064
150,1.0617509428047607,1.091077728425188
151,1.063059163273673,1.1023748409271243
152,1.0648661000937125,1.09384835972448
153,1.0682106358667642,1.1190534825384557
154,1.0657140497108037,1.124281338786226
155,1.0680086739949546,1.1243297210842376
156,1.0689468257721195,1.1432719557295004
157,1.0705970606998412,1.1476435172082178
158,1.0686691362425913,1.166158734416466
159,1.0683246840582763,1.1684791329934978
160,1.0680086718226764,1.179839419833602
161,1.0665860192386374,1.1774979631438474
162,1.0652526621481855,1.1824901739741263
163,1.0612725628969037,1.1719272191874517
