DayOfYear,Cumulative Return,Cum_Current_Year
92,1.024639831939127,1.1011737907013421
93,1.0257574628019872,1.1009080729999927
94,1.0260063758222335,1.1062340605412195
95,1.0291275299296487,1.119194619015792
96,1.0263100794301372,1.116864827624263
97,1.029496318175503,1.1181657221900323
98,1.0295280566745053,1.1191903980062006
99,1.0320021477980093,1.1219904716370799
100,1.0356042626769446,1.1189542273719906
101,1.0306947978108592,1.1106954617763898
102,1.032436502046806,1.1184714880067728
103,1.0333805830366194,1.1187497657854428
104,1.030873539016824,1.1105078842282075
105,1.0307393167128918,1.1038725601020285
106,1.0338741231419089,1.1127343123604747
107,1.0369885182091274,1.1139762157434183
108,1.041274333192576,1.1156503093279369
109,1.0434255237330723,1.128868143484676
110,1.0413433876047031,1.1286425768501713
111,1.0428014211746968,1.1273838923803157
112,1.0408558396377472,1.130293506357664
113,1.0424142427723766,1.133357032757917
114,1.0418400877565335,1.1429947301210008
115,1.0425403643594657,1.1456746594057063
116,1.0434873638422342,1.1452234231852436
117,1.0430856959499264,1.1540008582033157
118,1.0460859586045068,1.1569104721806638
119,1.0464096064635668,1.1539881951745414
120,1.046947565161983,1.1521855152246665
121,1.048226941843846,1.1486538685655854
122,1.0505417129132384,1.1531722019545125
123,1.0510702164367483,1.1549854859040927
124,1.0523727753068421,1.1560334287487402
125,1.0514648912990754,1.1513125898508807
126,1.0492367909684654,1.1543930002894993
127,1.0471063894293797,1.1615448318576271
128,1.0501062109445893,1.1674506419846735
129,1.0503216873526944,1.1738118063903202
130,1.0500794058692116,1.17500521963869
131,1.0477383012879473,1.1758759830319534
132,1.0497848556258984,1.1878794018438195
133,1.0481704326723222,1.1774699803856892
134,1.0487558303438669,1.1839661141468063
135,1.0483866866472444,1.1873122422867741
136,1.0510414624287636,1.194898426036999
137,1.052902623224991,1.1782564265385784
138,1.0506831463892572,1.169046698367478
139,1.0527416170044837,1.1606993945219117
140,1.0491215787072596,1.1732257037658402
141,1.0512293217078752,1.171397697758417
142,1.0507992328111826,1.144280902628927
143,1.0514539597796768,1.138396300501291
144,1.0482486464956118,1.1510216490434366
145,1.050226454173842,1.1519577866096395
146,1.054285053787254,1.1462438779918205
147,1.0579733564216562,1.1643469645175752
148,1.0608113175209932,1.1484029758735324
149,1.059880730499224,1.1272931921498277
150,1.0617509428047607,1.0935095697494035
151,1.063059163273673,1.1048318617452575
152,1.0648661000937125,1.0962863763518038
153,1.0682106358667642,1.1215476774358002
154,1.0657140497108037,1.1267871857561307
155,1.0680086739949546,1.1268356758907045
156,1.0689468257721195,1.145820129809428
157,1.0705970606998412,1.1502014348138156
158,1.0686691362425913,1.1687579195405557
159,1.0683246840582763,1.1710834899224933
160,1.0680086718226764,1.1824690970622178
161,1.0665860192386374,1.1801224216323234
162,1.0652526621481855,1.185125759318444
163,1.0612725628969037,1.1745392613603833
164,1.0615251693580967,1.1880269312766096
165,1.0626694887125618,1.1842802190312756
166,1.0627291404895218,1.1861693782020468
167,1.0649083957958638,1.1790808617777897
168,1.0682794119912593,1.1790344306722846
169,1.0663247741920578,1.190934486224889
170,1.0641897731179786,1.1657449423039459
171,1.0637272280564685,1.1638767852296779
172,1.0651702871486644,1.1603641845894845
173,1.0613971932443562,1.1403360088357049
174,1.0589356318677186,1.15354117996367
175,1.0588771899509692,1.1587005920532178
176,1.0543768552114525,1.171058163864945
177,1.0541040032757212,1.1798355988830171
178,1.0540287312395935,1.1862158093075519
179,1.0559990036875198,1.1877064434020257
180,1.0568664500909324,1.1880206512379492
181,1.0593482654819095,1.1845796018579022
182,1.0652157919783964,1.2046900358229868
